               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,             0.04827,            0.033119,           0.0030416,             0.93878,             0.62222,             0.62734,             0.47279,            0.040515,            0.036538,           0.0038848,            0.005611,            0.005611,            0.005611
                 135,            0.052376,             0.03848,           0.0024602,             0.91399,             0.64444,             0.63128,             0.50834,            0.036231,            0.037061,           0.0046539,            0.005578,            0.005578,            0.005578
                 136,            0.045306,            0.035582,           0.0023769,             0.93542,             0.64444,             0.63283,             0.47827,            0.037714,            0.037641,           0.0049338,            0.005545,            0.005545,            0.005545
                 137,            0.046876,            0.034457,           0.0036116,             0.92625,             0.64444,             0.63689,             0.52395,            0.035485,            0.036557,           0.0049233,            0.005512,            0.005512,            0.005512
                 138,            0.043928,            0.034228,           0.0031726,             0.95087,             0.64444,             0.64234,             0.51115,            0.035151,            0.036919,           0.0044308,            0.005479,            0.005479,            0.005479
                 139,             0.04856,            0.033971,           0.0026163,             0.92955,             0.65571,             0.64762,             0.49603,            0.038103,            0.036039,            0.003952,            0.005446,            0.005446,            0.005446
                 140,            0.045639,            0.033375,           0.0050981,              0.9146,             0.66667,             0.81286,             0.59081,            0.035357,            0.034722,           0.0032153,            0.005413,            0.005413,            0.005413
                 141,            0.049446,            0.034035,            0.002192,             0.91894,             0.64586,             0.81218,              0.6271,               0.035,            0.032608,           0.0027227,             0.00538,             0.00538,             0.00538
                 142,            0.044629,            0.032353,           0.0027088,             0.94875,             0.66667,             0.81656,             0.54368,              0.0407,            0.032146,           0.0024951,            0.005347,            0.005347,            0.005347
                 143,            0.051167,            0.035639,            0.002294,             0.58928,             0.83333,             0.81787,             0.62196,            0.036217,            0.030056,           0.0020556,            0.005314,            0.005314,            0.005314
                 144,            0.050682,            0.032763,           0.0025387,             0.94286,             0.66667,              0.8115,             0.60367,            0.030437,            0.031521,            0.002512,            0.005281,            0.005281,            0.005281
                 145,            0.047824,            0.036375,           0.0024142,             0.93302,             0.66667,             0.80809,             0.60507,            0.033302,            0.032172,           0.0025606,            0.005248,            0.005248,            0.005248
                 146,            0.046885,            0.033603,           0.0021822,             0.93252,             0.66667,             0.80506,             0.62569,            0.030495,            0.032936,           0.0028472,            0.005215,            0.005215,            0.005215
